country,num_trans,un_entry,trans_dem,trans_confl,trans_new,description
Namibia,2,1990,0,0,1,1990: Independence from South African apartheid rule
Namibia,2,1990,0,1,0,"1999: State forces defeat secessionist rebels in Caprivi Strip, ending intermittent internal conflict (the most violent period of which took place in August 1999)"
Nauru,0,1999,0,0,0,
Nepal,5,1955,1,0,0,"1955: Date of UN membership, which followed revolution that toppled Rana dynasty in 1951 and ended its autocratic rule (which lasted from 1846-1951)"
Nepal,5,1955,1,0,0,"1959: Nepali Congress Party wins first general elections, instituting BP Koirala as the country’s first elected prime minister"
Nepal,5,1955,0,1,0,1962: The Nepali Congress Party ends its armed campaign against the monarchy (which lasted from 1960-1962)
Nepal,5,1955,1,0,0,"1990: Public pressure forces the monarchy to establish multi-party constitution, ending era of autocratic rule under the party-less Panchayat system (which lasted from 1962-1990)"
Nepal,5,1955,1,1,0,"2006: Public demonstrations pressure monarchy to reinstate parliament with a prime minister from the Nepali Congress Party. New government negotiates and signs Comprehensive Peace Agreement with the Communist Party of Nepal – Maoist (CPN-M), ending internal armed conflict (which lasted from 1996-2006)"
Netherlands,0,1945,0,0,0,
New Zealand,0,1945,0,0,0,
Nicaragua,2,1945,1,0,0,"1979: Sandinista National Liberation Front-led insurrection overthrows Anastasio Somoza Debayle, ending his family’s dictatorship (which lasted from 1936-1979) and leading to freer and fairer multiparty elections in 1984"
Nicaragua,2,1945,0,1,0,"1990: Nicaraguan government and “Contra” rebels sign final peace accords, marking end of armed conflict (which lasted from 1981-1990)"
Niger,4,1960,1,0,0,"1991: Anti-regime demonstrations force General Ali Saibou to allow for multiparty elections, following end of era of single-party and military rule (which lasted from 1960-1991)"
Niger,4,1960,0,1,0,"1995: Government and Tuareg rebels sign peace accord, ending conflict in northern Niger (the most violent period of which lasted from 1991-1995)"
Niger,4,1960,1,0,0,"1999: Military leader Ibrahim Baré Mainassa is killed in a counter coup by military officers who restore democratic elections, ending era of military rule (which lasted from 1996-1999)"
Niger,4,1960,1,0,0,"2010: Voters approve a new constitution that limits presidential powers, allowing for a return to civilian rule after a military coup ousted the increasingly authoritarian President Mamadou Tandja (who was president from 1999-2010)"
Nigeria,3,1960,0,1,0,"1970: Biafran leader surrenders, leading to reintegration of Biafran regions and end of Biafran War (which lasted from 1967-1970)"
Nigeria,3,1960,1,0,0,"1979: General Olusegun Obasanjo implements a process of transition to civilian rule, eventually handing over power to democratically elected civilian President Shehu Shagari, ending era of military rule (which lasted from 1966-1979)"
Nigeria,3,1960,1,0,0,"1999: Olusegun Obasanjo wins elections and assumes head of a civilian government, ending period of military rule (which lasted from 1983-1999)"
Norway,0,1945,0,0,0,
Oman,1,1971,0,1,0,1976: End of armed conflict (which lasted from 1962-1976) between military forces and the Popular Front for the Liberation of Oman
Pakistan,5,1947,1,1,0,"1971: Pakistani Army surrenders to Indian Army in East Pakistan, resulting in the partitioning of Pakistan and end of conflict in East Pakistan (which lasted from March-December 1971). After the Pakistani Army’s defeat, military leader Yahya Khan cedes power to Zulfiqar Ali Bhutto, who had won the most votes in West Pakistan in the 1970 general elections, ending period of military rule (which lasted from 1958-1971) "
Pakistan,5,1947,0,1,0,"1977: General Zia ul-Haq releases Baloch and Pashtun leaders accused of having rebelled against the state, and suspends army operations in Balochistan, marking an end to period of conflict in Balochistan (the most violent period of which lasted from 1973-1977)"
Pakistan,5,1947,1,0,0,"1988: President Zia-ul-Haq dies in a plane crash, ending his authoritarian rule (which lasted from 1977-1988) and leading to the restoration of civilian rule under Benazir Bhutto"
Pakistan,5,1947,0,1,0,"1996: Government forces severely weaken the Muhajir National Front (MQM), leading to a reduction in violence between the MQM and Pakistani security forces in Karachi (between whom the most violent period of conflict lasted from 1992-1996)"
Pakistan,5,1947,1,0,0,"2008: Asif Ali Zardari, widower of recently-assassinated Benazir Bhutto, is elected president, ending period of military rule under Pervez Musharraf (which lasted from 1999-2008)"
Palau,0,1994,0,0,0,
Panama,1,1945,1,0,0,1989: End of military regime of Manuel Noriega (which lasted from 1983-1989 and which was preceded by military regime of General Omar Torrijos until his death in 1989) after defeat by US troops
Papua New Guinea,1,1975,0,1,0,"2001: Government and Bougainville Revolutionary Army sign Bougainville Peace Agreement, formally ending the Bougainville civil war (the most violent period of which lasted from 1989-1997)"
Paraguay,1,1945,1,0,0,"1993: Civilian Juan Carlos Wasmosy wins presidential elections, ending era of military rule (the most repressive period of which lasted from 1954-1989, under the presidency of General Alfredo Stroessner)"
Peru,5,1945,1,0,0,"1956: Manuel Prado Ugarteche wins presidential elections, ending General Manuel Odría’s repressive military rule (which lasted from 1948-1956)"
Peru,5,1945,1,0,0,"1963: Fernando Belaúnde Terry wins presidential elections, ending period of military rule (which lasted from 1962-1963)"
Peru,5,1945,1,0,0,"1980: Fernando Belaúnde Terry for a second time wins presidential elections, ending General Juan Velasco Alvarado’s military rule (which lasted from 1968-1980)"
Peru,5,1945,0,1,0,"1999: State forces capture Shining Path rebel leader Óscar Ramírez Durand, hastening an end to the most violent period of armed conflict (which lasted from 1980-1999)"
Peru,5,1945,1,0,0,"2000: Alberto Fujimori resigns as president and seeks asylum in Japan, ending his intermittently authoritarian rule (which lasted from 1990-2000)"
Philippines,3,1945,0,1,0,1954: End of the Hukbalahap Rebellion (which lasted from 1942-1954)
Philippines,3,1945,1,0,0,"1986: People Power Revolution forces Ferdinand Marcos into exile, ending 21 years of dictatorship"
Philippines,3,1945,0,1,0,"2014: Signing of the Comprehensive Agreement on Bangsamoro, ending the armed conflict with the Moro Islamic Liberation Front (which lasted from 1978-2014)"
Poland,1,1945,1,0,0,"1989: Solidarity wins elections, marking an end to Communist rule (which lasted from 1947-1989)"
Portugal,1,1955,1,0,0,1974:' Carnation Revolution ousts Estado Novo authoritarian regime (which lasted from 1933-1974)
Qatar,0,1971,0,0,0,
Romania,1,1955,1,0,0,"1989: Revolution ousts Nicolae Ceaușescu, marking an end to Communist rule (which lasted from 1947-1989) and leading to multiparty elections in 1990"
Russia,3,1945,1,0,0,"1991: Boris Yeltsin becomes Russia’s first popularly elected president, and Soviet Union is dissolved. Membership of the Soviet Union is continued by the Russian Federation with the support of the 11 member countries of the Commonwealth of Independent States."
Russia,3,1945,0,1,0,"1996: Russia and Chechen rebel government reach a peace agreement, leading to a reduction in violence in the Russo-Chechen war (the most violent period of which lasted from 1994-1996)"
Russia,3,1945,0,1,0,2002: President Vladimir Putin declares the end of the Second Chechen War (the most violent period of which lasted from 1999-2002)
Rwanda,1,1962,0,1,0,"1994: Rwandan Patriotic Front overthrows Hutu regime, marking an end to the Rwandan genocide (which lasted from April-July 1994) and the preceding civil war (which formally lasted from 1990-1993)"
Saint Kitts and Nevis,0,1983,0,0,0,
Saint Lucia,0,1979,0,0,0,
Saint Vincent and the Grenadines,0,1980,0,0,0,
Samoa,0,1976,0,0,0,
San Marino,0,1992,0,0,0,
Sao Tome and Principe,0,1975,0,0,0,
Saudi Arabia,0,1945,0,0,0,
Senegal,3,1969,1,0,0,"1970: Léopold Sédar Senghor revises the constitution to reinstitute the office of the prime minister, ushering in an era of political liberalisation"
Senegal,3,1969,1,0,0,"1981: Abou Diouf introduces an unlimited multiparty system, ending prior controls on political participation (including single-party system from 1960-1974 and limited multi-party system from 1974-1981)"
Senegal,3,1969,1,0,0,"2000: Senegalese Democratic Party wins presidential elections, resulting in first transfer of power away from the Socialist Party since independence"
Serbia,3,2006,0,1,0,"1999: NATO bombing campaign forces Milosevic to agree to withdraw Yugoslav forces from Kosovo, ending the Kosovo war (the most violent period of which lasted from 1998-1999)"
Serbia,3,2006,1,0,0,"2000: Public protests force Slobodan Milosevic out of power, ending his authoritarian rule (which lasted from 1989-2000) and culminating in UN membership as Federal Republic of Yugoslavia"
Serbia,3,2006,0,0,1,2006: Serbia declares itself the successor state of the Union of Serbia and Montenegro following Montenegrin referendum to become an independent state
Seychelles,1,1976,1,0,0,"1991: President René reinstates multiparty democracy following period of one-party rule (which began in 1978), leading to multiparty elections in 1993"
Sierra Leone,3,1961,1,0,0,"1996: Multiparty system is reinstated, ending period of one-party rule (which formally lasted from 1978-1991) and military government (which lasted from 1992-1996)"
Sierra Leone,3,1961,0,1,0,"1999: Government and Revolutionary United Front sign Lomé Peace Agreement, putting in place a set of measures to bring an end to armed conflict"
Sierra Leone,3,1961,0,1,0,"2002: At a symbolic ceremony to burn thousands of weapons collected during disarmament, President Ahmad Tejan Kabbah declares the end of the Sierra Leone conflict (which lasted from 1991-2002)"
Singapore,0,1965,0,0,0,
Slovakia,2,1993,1,0,0,"1989: Velvet Revolution ends communist rule over Czechoslovakia (which lasted from 1948-1989), leading to multiparty elections in 1990"
Slovakia,2,1993,0,0,1,1993: Consensual breakup of Czechoslovakia
Slovenia,1,1992,0,1,1,1991: Declaration of independence from Socialist Federal Republic of Yugoslavia (following brief armed conflict with the former Yugoslav federal army and prior period of communist rule within the former Yugoslavia)
Solomon islands,1,1978,0,1,0,"2003: Australian-led Regional Assistance Mission to Solomon Islands (RAMSI) intervenes to restore law and order at the request of the government of the Solomon Islands, marking an end to internal conflict commonly referred to as ‘the tensions’ (which lasted from 1998-2003)"
Somalia,0,1960,0,0,0,
South Africa,1,1945,1,1,0,"1994: First free and fair democratic elections are held, marking an end to apartheid (which lasted from 1948-1994 and involved periods of armed conflict between the government and the African National Congress, among others)."
South Sudan,2,2011,0,1,0,"2005: Sudanese central government and Sudan People's Liberation Army sign Comprehensive Peace Agreement, marking an end to the Second Sudanese Civil War (which lasted from 1983-2005)"
South Sudan,2,2011,0,0,1,2011: South Sudan gains independence from Sudan following a referendum
Spain,2,1955,1,0,0,"1975: General Francisco Franco dies, ending period of authoritarian rule (which lasted from 1936-1975) and leading to a transition to democracy"
Spain,2,1955,0,1,0,"2011: Basque Fatherland and Freedom (ETA) declares the definitive close of its armed separatist campaign, marking an end to internal armed conflict (which lasted from 1959-2011)"
Sri Lanka,4,1955,0,1,0,"1971: Military defeats Janatha Vimukthi Peramuna (JVP) communist fighters, marking an end to the first Insurrection (which lasted from April-June 1971)"
Sri Lanka,4,1955,0,1,0,"1989: Military defeats JVP, marking an end to the second Insurrection (which lasted from 1987-1989)"
Sri Lanka,4,1955,0,1,0,"2009: Military defeats the Liberation Tigers of Tamil Eelam (LTTE), marking an end to the Sri Lankan Civil War (which lasted from 1983-2009)"
Sri Lanka,4,1955,1,0,0,2015: Semi-authoritarian government of President Rajapaksa is defeated in presidential and parliamentary elections
Sudan,5,1956,1,0,0,"1964: Civilian demonstrations force Lt. General Ibrahim Abboud to resign, leading to reinstatement of civilian rule and end of period of military rule (which lasted from 1958-1964)"
Sudan,5,1956,0,1,0,"1972: Sudanese central government and South Sudanese regional government sign Addis Ababa Agreement on the Problem of South Sudan, marking an end to First Sudanese Civil War (which lasted from 1955-1972)"
Sudan,5,1956,1,0,0,"1986: Sadiq al-Mahdi is elected prime minister, restoring civilian rule and ending period of military rule (which lasted from 1969-1986)"
Sudan,5,1956,0,1,0,"2005: Sudanese central government and Sudan People's Liberation Army sign Comprehensive Peace Agreement, marking an end to the Second Sudanese Civil War (which lasted from 1983-2005)"
Sudan,5,1956,1,0,0,"2019: A three-year power-sharing government is agreed between the military, civilian representatives and protest groups, ending the authoritarian rule of President Bashir who was removed by military coup prior to the power-sharing talks."
Suriname,3,1975,1,0,0,"1988: Ramsewak Shankar is elected president, ending period of effective military rule (which lasted from 1980-1988)"
Suriname,3,1975,1,0,0,"1991: Ronald Venetiaan is elected president, ending period of military control over the government (which lasted from 1990-1991)"
Suriname,3,1975,0,1,0,"1992: Government and Maroon chiefs sign peace agreement, ending civil war (which lasted from 1986-1992)"
Swaziland,0,1968,0,0,0,
Sweden,0,1946,0,0,0,
Switzerland,0,2002,0,0,0,
Syria,1,1945,0,1,0,"1982: Government forces crush anti-government uprising in Hama, marking an end to period of armed conflict between supporters of the Muslim Brotherhood and the regime (which lasted from 1979-1982)"
Tajikistan,2,1992,0,0,1,"1991: Tajikistan gains independence, marking an end to decades-long Soviet rule"
Tajikistan,2,1992,0,1,0,"1997: Series of peace agreements signed between the government and the United Tajik Opposition, ending the civil war (which lasted from 1992-1997)"
Tanzania,1,1961,1,0,0,"1992: Government introduces a multiparty system, ending period of one-party rule (which lasted from 1961-1992)"
Thailand,4,1946,1,0,0,"1973: In response to student protests against the military government, King Bhumibol Adulyadej intervenes and restores civilian government, ending period of military rule (which lasted from 1948-1973)"
Thailand,4,1946,1,0,0,"1979: Parliamentary elections are reinstated, introducing limited democracy and marking an end to period of military rule without free elections (which lasted from 1976-1979)"
Thailand,4,1946,1,0,0,"1992: In response to Black May, in which the military government violently repressed opposition protestors, King Bhumibol Adulyadej intervenes to reinstate civilian rule, ending period of military rule (which lasted from 1991-1992)"
Thailand,4,1946,1,0,0,"2007: New constitution is approved, marking a return to parliamentary rule and end to period of military rule (which lasted from 2006-2007)"
Timor-Leste,0,2002,0,0,0,
Togo,2,1960,0,1,0,"1992: Gnassingbé Eyadéma and Joseph Kokou Koffigoh form government of national unity, marking an end to violent conflict between pro-Eyadéma military faction and supporters of Koffigoh’s transitional government (which lasted from 1991-1992)"
Togo,2,1960,1,0,0,"2007: First relatively free and fair parliamentary elections are held, marking end to era of effective single-party control (which lasted from 1961-2007)"
Tonga,0,1999,0,0,0,
Trinidad and Tobago,0,1962,0,0,0,
Tunisia,1,1956,1,0,0,"2011: “Jasmine Revolution” ousts Zine El Abidine Ben Ali, ending his authoritarian rule (which lasted from 1987-2011) and era of de facto one-party rule (which began in 1956)"
Turkey,6,1945,1,0,0,"1945: End of one-party state (which lasted from 1925-1945, with a brief interruption in 1930)"
Turkey,6,1945,1,0,0,1950: First multi-party general elections are held
Turkey,6,1945,1,0,0,"1961: General elections are held, reinstating civilian rule after a period of military rule (which lasted from 1960-1961)"
Turkey,6,1945,1,0,0,"1973: General elections are held, reinstating electoral democracy after a period of military rule (which lasted from 1971-1973)"
Turkey,6,1945,1,0,0,"1983: General elections are held, reinstating civilian rule after a period of military rule (which lasted from 1980-1983)"
Turkey,6,1945,1,0,0,1999: First general elections are held since the military unseated civilian Prime Minister Necmettin Erbakan in 1997
Turkmenistan,1,1992,0,0,1,"1991: Turkmenistan gains independence, marking an end to decades-long Soviet rule"
Tuvalu,0,2000,0,0,0,
Uganda,4,1962,0,1,0,"1966: Milton Obote’s forces suppress rebellion by former President Mutesa, ending brief conflict (which lasted from March-May 1966)"
Uganda,4,1962,0,1,0,"1986: National Resistance Army leader Yoweri Museveni seizes power, ushering in period of relative peace and stability and marking end to period of repressive authoritarian rule (which lasted from 1961-1985), military government (which lasted from 1985-1986) and the Ugandan Bush War (which lasted from 1981-1986)"
Uganda,4,1962,1,0,0,"2005: Referendum reinstates multi-party system, ending period of “Movement” (no party) system (which lasted from 1986-2005)"
Uganda,4,1962,0,1,0,"2006: Lord’s Resistance Army (LRA) leader Joseph Kony orders LRA to withdraw from northern Uganda, and government and LRA commence peace talks in Juba which leads to reduction in LRA-related violence in northern Uganda (the most violent period of which lasted from 1988-2006)"
Ukraine,3,1945,0,0,1,"1991: Ukraine regains independence, marking an end to decades-long Soviet rule"
Ukraine,3,1945,1,0,0,"2005: Orange Revolution succeeds in annulling results of disputed 2004 elections, marking an end to Leonid Kuchma’s semi-authoritarian rule (which lasted from 1994-2005)"
Ukraine,3,1945,1,0,0,"2014: Euromaidan Revolution ousts President Viktor Yanukovych, marking an end to his semi-authoritarian rule (which lasted from 2010-2014)"
United Arab Emirates,0,1971,0,0,0,
United Kingdom,1,1945,0,1,0,1998: Good Friday Agreement marks end of armed conflict in Northern Ireland (which lasted from 1968-1998)
United States,0,1945,0,0,0,
Uruguay,1,1945,1,0,0,"1985: Army and political leaders negotiate the restoration of democratic rule, marking the end of period of military rule (which lasted from 1973-1985)"
Uzbekistan,1,1992,0,0,1,"1991: Uzbekistan gains independence, marking an end to decades-long Soviet rule"
Vanuatu,0,1981,0,0,0,
Venezuela,2,1945,1,0,0,"1945: Civil-military coup deposes authoritarian regime of President Isaías Medina Angarita (which lasted from 1941-1945), leading to first democratic elections in 1946"
Venezuela,2,1945,1,0,0,"1958: Civil-military coup overthrows Marcos Pérez Jiménez, ending period of authoritarian rule (which lasted from 1948-1958)"
Vietnam,1,1977,0,1,0,"1975: Viet Cong captures Saigon, marking an end to the Vietnam War (which lasted from 1955-1975, and which as of 1965 became a mix of internal and interstate armed conflict)"
Yemen,3,1990,1,0,0,1990: North and South Yemen unify leading to new constitution in 1991 that enshrines basic democratic freedoms
Yemen,3,1990,0,1,0,"1994: North Yemeni forces march onto Aden, causing South Yemeni forces to flee and marking end to civil war (which lasted from April-July 1994)"
Yemen,3,1990,1,0,0,"2012: Anti-government protests force President Ali Abdullah Saleh to step down, marking an end to his authoritarian rule (which lasted from 1990-2012)"
Zambia,1,1964,1,0,0,"1991: Frederick Chiluba wins first multiparty elections since independence, ending Kenneth Kaunda’s intermittently authoritarian rule (which lasted from 1964-1991)"
Zimbabwe,2,1980,0,1,0,"1987: Unity Accord is signed between ZAPU and ZANU nationalist movements, marking an end to violent conflict (the most intensive parts of which lasted from 1983-1987)"
Zimbabwe,2,1980,1,0,0,"2008: ZANU-PF and the Movement for Democratic Change (MDC) sign the Global Political Agreement, leading to the formation of a national unity government in 2009"
