tables,colname,definition,source,colname_Dima
tjet_cy_analyses.csv,tro_int_hrs_con_opp,"count of trials ongoing, by country of accused (int'l & hybrid trials, human rights & conflict nexus, opposition members)",TJET,
tjet_cy_analyses.csv,tfc_int_hrs_con_opp,"count of trials with any final convictions, by country of accused & conviction year (int'l & hybrid trials, human rights & conflict nexus, opposition members)",TJET,
tjet_cy_analyses.csv,cct_int_hrs_con_opp,"count of convictions, by country of accused & conviction year (int'l & hybrid trials, human rights & conflict nexus, opposition members)",TJET,
tjet_cy_analyses.csv,acc_int_hrs_con_opp,"count of accused in ongoing trials, by country of accused (int'l & hybrid trials, human rights & conflict nexus, opposition members)",TJET,
tjet_cy_analyses.csv,crt_int_hrs_con_opp,"conviction rate, cct/acc (int'l & hybrid trials, human rights & conflict nexus, opposition members)",TJET,
tjet_cy_analyses.csv,sen_int_hrs_con_opp,"total sum of sentences scale, by country of accused & conviction year (int'l & hybrid trials, human rights & conflict nexus, opposition members)",TJET,
tjet_cy_analyses.csv,trs_for_hrs_con_sta,"count of trials beginning, by country of accused & start year (foreign trials, human rights & conflict nexus, state agents)",TJET,
tjet_cy_analyses.csv,tro_for_hrs_con_sta,"count of trials ongoing, by country of accused (foreign trials, human rights & conflict nexus, state agents)",TJET,
tjet_cy_analyses.csv,tfc_for_hrs_con_sta,"count of trials with any final convictions, by country of accused & conviction year (foreign trials, human rights & conflict nexus, state agents)",TJET,
tjet_cy_analyses.csv,cct_for_hrs_con_sta,"count of convictions, by country of accused & conviction year (foreign trials, human rights & conflict nexus, state agents)",TJET,
tjet_cy_analyses.csv,acc_for_hrs_con_sta,"count of accused in ongoing trials, by country of accused (foreign trials, human rights & conflict nexus, state agents)",TJET,
tjet_cy_analyses.csv,crt_for_hrs_con_sta,"conviction rate, cct/acc (foreign trials, human rights & conflict nexus, state agents)",TJET,
tjet_cy_analyses.csv,sen_for_hrs_con_sta,"total sum of sentences scale, by country of accused & conviction year (foreign trials, human rights & conflict nexus, state agents)",TJET,
tjet_cy_analyses.csv,trs_for_hrs_con_opp,"count of trials beginning, by country of accused & start year (foreign trials, human rights & conflict nexus, opposition members)",TJET,
tjet_cy_analyses.csv,tro_for_hrs_con_opp,"count of trials ongoing, by country of accused (foreign trials, human rights & conflict nexus, opposition members)",TJET,
tjet_cy_analyses.csv,tfc_for_hrs_con_opp,"count of trials with any final convictions, by country of accused & conviction year (foreign trials, human rights & conflict nexus, opposition members)",TJET,
tjet_cy_analyses.csv,cct_for_hrs_con_opp,"count of convictions, by country of accused & conviction year (foreign trials, human rights & conflict nexus, opposition members)",TJET,
tjet_cy_analyses.csv,acc_for_hrs_con_opp,"count of accused in ongoing trials, by country of accused (foreign trials, human rights & conflict nexus, opposition members)",TJET,
tjet_cy_analyses.csv,crt_for_hrs_con_opp,"conviction rate, cct/acc (foreign trials, human rights & conflict nexus, opposition members)",TJET,
tjet_cy_analyses.csv,sen_for_hrs_con_opp,"total sum of sentences scale, by country of accused & conviction year (foreign trials, human rights & conflict nexus, opposition members)",TJET,
tjet_cy_analyses.csv,trs_dom_dtj_sta,"count of trials beginning, by country of accused & start year (domestic trials, post-autocratic transition nexus, state agents)",TJET,
tjet_cy_analyses.csv,tro_dom_dtj_sta,"count of trials ongoing, by country of accused (domestic trials, post-autocratic transition nexus, state agents)",TJET,
tjet_cy_analyses.csv,trs_dom_hrs_sta,"count of trials beginning, by country of accused & start year (domestic trials, human rights nexus, state agents)",TJET,
tjet_cy_analyses.csv,tro_dom_hrs_sta,"count of trials ongoing, by country of accused (domestic trials, human rights nexus, state agents)",TJET,
tjet_cy_analyses.csv,tfc_dom_hrs_sta,"count of trials with any final convictions, by country of accused & conviction year (domestic trials, human rights nexus, state agents)",TJET,
tjet_cy_analyses.csv,cct_dom_hrs_sta,"count of convictions, by country of accused & conviction year (domestic trials, human rights nexus, state agents)",TJET,
tjet_cy_analyses.csv,acc_dom_hrs_sta,"count of accused in ongoing trials, by country of accused (domestic trials, human rights nexus, state agents)",TJET,
tjet_cy_analyses.csv,crt_dom_hrs_sta,"conviction rate, cct/acc (domestic trials, human rights nexus, state agents)",TJET,
tjet_cy_analyses.csv,sen_dom_hrs_sta,"total sum of sentences scale, by country of accused & conviction year (domestic trials, human rights nexus, state agents)",TJET,
tjet_cy_analyses.csv,trs_dom_hrs_opp,"count of trials beginning, by country of accused & start year (domestic trials, human rights nexus, opposition members)",TJET,
tjet_cy_analyses.csv,tro_dom_hrs_opp,"count of trials ongoing, by country of accused (domestic trials, human rights nexus, opposition members)",TJET,
tjet_cy_analyses.csv,tfc_dom_hrs_opp,"count of trials with any final convictions, by country of accused & conviction year (domestic trials, human rights nexus, opposition members)",TJET,
tjet_cy_analyses.csv,cct_dom_hrs_opp,"count of convictions, by country of accused & conviction year (domestic trials, human rights nexus, opposition members)",TJET,
tjet_cy_analyses.csv,acc_dom_hrs_opp,"count of accused in ongoing trials, by country of accused (domestic trials, human rights nexus, opposition members)",TJET,
tjet_cy_analyses.csv,crt_dom_hrs_opp,"conviction rate, cct/acc (domestic trials, human rights nexus, opposition members)",TJET,
tjet_cy_analyses.csv,sen_dom_hrs_opp,"total sum of sentences scale, by country of accused & conviction year (domestic trials, human rights nexus, opposition members)",TJET,
tjet_cy_analyses.csv,trs_dom_con_sta,"count of trials beginning, by country of accused & start year (domestic trials, conflict nexus, state agents)",TJET,
tjet_cy_analyses.csv,tro_dom_con_sta,"count of trials ongoing, by country of accused (domestic trials, conflict nexus, state agents)",TJET,
tjet_cy_analyses.csv,tfc_dom_con_sta,"count of trials with any final convictions, by country of accused & conviction year (domestic trials, conflict nexus, state agents)",TJET,
tjet_cy_analyses.csv,cct_dom_con_sta,"count of convictions, by country of accused & conviction year (domestic trials, conflict nexus, state agents)",TJET,
tjet_cy_analyses.csv,acc_dom_con_sta,"count of accused in ongoing trials, by country of accused (domestic trials, conflict nexus, state agents)",TJET,
tjet_cy_analyses.csv,crt_dom_con_sta,"conviction rate, cct/acc (domestic trials, conflict nexus, state agents)",TJET,
tjet_cy_analyses.csv,sen_dom_con_sta,"total sum of sentences scale, by country of accused & conviction year (domestic trials, conflict nexus, state agents)",TJET,
tjet_cy_analyses.csv,trs_dom_con_opp,"count of trials beginning, by country of accused & start year (domestic trials, conflict nexus, opposition members)",TJET,
tjet_cy_analyses.csv,tro_dom_con_opp,"count of trials ongoing, by country of accused (domestic trials, conflict nexus, opposition members)",TJET,
tjet_cy_analyses.csv,tfc_dom_con_opp,"count of trials with any final convictions, by country of accused & conviction year (domestic trials, conflict nexus, opposition members)",TJET,
tjet_cy_analyses.csv,cct_dom_con_opp,"count of convictions, by country of accused & conviction year (domestic trials, conflict nexus, opposition members)",TJET,
tjet_cy_analyses.csv,acc_dom_con_opp,"count of accused in ongoing trials, by country of accused (domestic trials, conflict nexus, opposition members)",TJET,
tjet_cy_analyses.csv,crt_dom_con_opp,"conviction rate, cct/acc (domestic trials, conflict nexus, opposition members)",TJET,
tjet_cy_analyses.csv,sen_dom_con_opp,"total sum of sentences scale, by country of accused & conviction year (domestic trials, conflict nexus, opposition members)",TJET,
tjet_cy_analyses.csv,tcs_ctj_all_n,"count of TCs, conflict TJ",TJET,
tjet_cy_analyses.csv,tcs_ctj_victim_process,"victim-centered TC process scale, conflict TJ",TJET,
tjet_cy_analyses.csv,tcs_ctj_victim_process_n,"victim-centered TC process scale, conflict TJ, count of TCs included in scale",TJET,
tjet_cy_analyses.csv,tcs_ctj_victim_outcome,"victim-centered TC outcome scale, conflict TJ",TJET,
tjet_cy_analyses.csv,tcs_ctj_victim_outcome_n,"victim-centered TC outcome scale, conflict TJ, count of TCs included in scale",TJET,
tjet_cy_analyses.csv,tcs_ctj_account_process,"accountability-oriented TC process scale, conflict TJ",TJET,
tjet_cy_analyses.csv,tcs_ctj_account_process_n,"accountability-oriented TC process scale, conflict TJ, count of TCs included in scale",TJET,
tjet_cy_analyses.csv,tcs_ctj_account_outcome,"accountability-oriented TC outcome scale, conflict TJ",TJET,
tjet_cy_analyses.csv,tcs_ctj_account_outcome_n,"accountability-oriented TC outcome scale, conflict TJ, count of TCs included in scale",TJET,
tjet_cy_analyses.csv,tcs_ctj_peace_process,"peace-oriented TC process scale, conflict TJ",TJET,
tjet_cy_analyses.csv,tcs_ctj_peace_process_n,"peace-oriented TC process scale, conflict TJ, count of TCs included in scale",TJET,
tjet_cy_analyses.csv,tcs_ctj_peace_outcome,"peace-oriented TC outcome scale, conflict TJ",TJET,
tjet_cy_analyses.csv,tcs_ctj_peace_outcome_n,"peace-oriented TC outcome scale, conflict TJ, count of TCs included in scale",TJET,
tjet_cy_analyses.csv,tcs_ctj_reform_process,"reform-oriented TC process scale, conflict TJ",TJET,
tjet_cy_analyses.csv,tcs_ctj_reform_process_n,"reform-oriented TC process scale, conflict TJ, count of TCs included in scale",TJET,
tjet_cy_analyses.csv,tcs_ctj_reform_outcome,"reform-oriented TC outcome scale, conflict TJ",TJET,
tjet_cy_analyses.csv,tcs_ctj_reform_outcome_n,"reform-oriented TC outcome scale, conflict TJ, count of TCs included in scale",TJET,
tjet_cy_analyses.csv,lag_*,variable lagged by one year,,
